product_name,description_link
SAP 3D Visual Enterprise,https://help.sap.com/docs/SAP_3D_Visual_Enterprise
SAP 3D Visual Enterprise Access,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_ACCESS
SAP 3D Visual Enterprise Author,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_AUTHOR
SAP 3D Visual Enterprise Generator,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_GENERATOR
"SAP 3D Visual Enterprise Generator, OEM Edition",https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_GENERATOR_OEM
SAP 3D Visual Enterprise Link,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_LINK
SAP 3D Visual Enterprise Mobile,https://help.sap.com/docs/SAP_Visual_Enterprise_Mobile
SAP 3D Visual Enterprise Planner,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_PLANNER
SAP 3D Visual Enterprise Viewer,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_VIEWER
SAP 3D Visual Enterprise structure manager,https://help.sap.com/docs/SAP_3D_Visual_Enterprise_structure_manager
"SAP 3D Visual Enterprise, third-party plug-ins",https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_THIRD_PARTY_PLUGINS
SAP Visual Enterprise,https://help.sap.com/docs/SAP_VISUAL_ENTERPRISE
SAP 3D Visual Enterprise Structure Manager,https://help.sap.com/docs/SAP_3D_VISUAL_ENTERPRISE_STRUCTURE_MANAGER
ABAP Cloud,https://help.sap.com/docs/ABAP_Cloud
ABAP Development Tools for Eclipse,https://help.sap.com/docs/ABAP_DEVELOPMENT_TOOLS_FOR_ECLIPSE
Business Entity Recognition,https://help.sap.com/docs/Business_Entity_Recognition
Data Attribute Recommendation,https://help.sap.com/docs/Data_Attribute_Recommendation
Document Classification,https://help.sap.com/docs/DOCUMENT_CLASSIFICATION
Personalized Recommendation,https://help.sap.com/docs/Personalized_Recommendation
Service Ticket Intelligence,https://help.sap.com/docs/SERVICE_TICKET_INTELLIGENCE
SAP AI Core,https://help.sap.com/docs/AI_CORE
SAP AI Launchpad,https://help.sap.com/docs/AI_LAUNCHPAD
SAP AI Services,https://help.sap.com/docs/SAP_AIS
ANSI X12 4010 Implementation Guides,https://help.sap.com/docs/ANSIX12_4010
SAP Business Accelerator Hub,https://help.sap.com/docs/SAP_API_BUSINESS_HUB
SAP Business Accelerator Hub,https://help.sap.com/docs/SAP_API_BUSINESS_HUB
SAP API Management,https://help.sap.com/docs/SAP_CLOUD_PLATFORM_API_MANAGEMENT
SAP API Management,https://help.sap.com/docs/SAP_API_MANAGEMENT
SAP API Management On-Premise,https://help.sap.com/docs/SAP_API_MANAGEMENT_ON_PREMISE
SAP AR Service Technician,https://help.sap.com/docs/SAP_AR_SERVICE_TECHNICIAN
SAP AR Service Technician,https://help.sap.com/docs/SAP_AR_SERVICE_TECHNICIAN
SAP AR Warehouse Picker,https://help.sap.com/docs/SAP_AR_WAREHOUSE_PICKER
SAP Absence and Leave Management by Workforce Software,https://help.sap.com/docs/SAP_ABSENCE_LEAVE_MANAGEMENT_BY_WFS
accelerated application delivery for SAP NetWeaver,https://help.sap.com/docs/ACCELERATED_APPLICATION_DELIVERY_FOR_SAP_NETWEAVER
accelerated application delivery for SAP NetWeaver,https://help.sap.com/docs/ACCELERATED_APPLICATION_DELIVERY_FOR_SAP_NETWEAVER
SAP Access Control,https://help.sap.com/docs/SAP_ACCESS_CONTROL
AVM 1.0 for S4 HANA,https://help.sap.com/docs/AVM_1.0_FOR_S_4_HANA
AVM 1.0 for S4 HANA,https://help.sap.com/docs/AVM_1.0_FOR_S_4_HANA
Acquire to Decommission Business Process,https://help.sap.com/docs/A2D
SAP Adaptive Extensions,https://help.sap.com/docs/SAP_ADAPTIVE_EXTENSIONS
SAP Adaptive Server Enterprise,https://help.sap.com/docs/SAP_ASE
SAP Adaptive Server Enterprise on AWS,https://help.sap.com/docs/SAP_ASE_AWS
SDK for SAP Adaptive Server Enterprise,https://help.sap.com/docs/SAP_ASE_SDK
SySAM,https://help.sap.com/docs/SYSAM
SAP Add-On Assembly Kit,https://help.sap.com/docs/SAP_ADD-ON_ASSEMBLY_KIT
SAP Add-on for Polish SAF-T Regulatory Requirements (Private Cloud Edition/On-Premise),https://help.sap.com/docs/SAP_ADDON_FOR_POLISH_SAF_T_REGULATORY_REQUIREMENTS
Address and Geocoding Directories,https://help.sap.com/docs/ADDRESSING_DIRECTORIES
SAP Advanced Data Migration and Management by Syniti,https://help.sap.com/docs/SAP_ADVANCED_DATA_MIGRATION_AND_MANAGEMENT_BY_SYNITI
SAP Advanced Data Migration by Syniti,https://help.sap.com/docs/SAP_ADVANCED_DATA_MIGRATION_BY_SYNITI
SAP Advanced Data Migration by Syniti,https://help.sap.com/docs/SAP_ADVANCED_DATA_MIGRATION_BY_SYNITI
Advanced Data Synchronization Framework for Mobile Asset Management,https://help.sap.com/docs/ADVANCED_DATA_SYNCHRONIZATION_FRAMEWORK_FOR_MOBILE_ASSET_MANAGEMENT
SAP Advanced Planning and Optimization,https://help.sap.com/docs/SAP_ADVANCED_PLANNING_AND_OPTIMIZATION
"SAP Advanced Planning and Optimization (SAP APO), on SAP ERP","https://help.sap.com/docs/SAP_ADVANCED_PLANNING_AND_OPTIMIZATION,_ON_SAP_ERP"
"SAP Advanced Planning and Optimization, Demand planning add-in for Microsoft Excel","https://help.sap.com/docs/SAP_ADVANCED_PLANNING_AND_OPTIMIZATION,_DEMAND_PLANNING_ADD-IN_FOR_MICROSOFT_EXCEL"
Advanced Simulation For Supply Network Planning,https://help.sap.com/docs/ADVANCED_SIMULATION_FOR_SUPPLY_NETWORK_PLANNING
SAP Advanced Solution Bundling,https://help.sap.com/docs/SAP_ADVANCED_SOLUTION_BUNDLING
SAP Advanced Track and Trace for Pharmaceuticals,https://help.sap.com/docs/SAP_ADVANCED_TRACK_AND_TRACE_FOR_PHARMACEUTICALS
SAP Advanced Track and Trace for Pharmaceuticals on SAP S/4HANA,https://help.sap.com/docs/S4_ADV_TRACK_TRACE_PHARMA
SAP Afaria,https://help.sap.com/docs/SAP_AFARIA
SAP Afaria,https://help.sap.com/docs/SAP_AFARIA
Agent Compliance,https://help.sap.com/docs/Agent_Compliance
SAP Agile Data Preparation,https://help.sap.com/docs/AGILE_DATA_PREPARATION
SAP Agricultural Contract Management,https://help.sap.com/docs/SAP_AGRICULTURAL_CONTRACT_MANAGEMENT
SAP Agricultural Origination Portal,https://help.sap.com/docs/SAP_AGRICULTURAL_ORIGINATION_PORTAL
SAP Analysis for Microsoft Office,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_ANALYSIS_OFFICE
"SAP Analysis for Microsoft Office, edition for SAP Analytics Cloud",https://help.sap.com/docs/SAP_ANALYSIS_OFFICE_CLOUD
SAP Analytics,https://help.sap.com/docs/SAP_ANALYTICS
SAP Analytics Cloud,https://help.sap.com/docs/SAP_ANALYTICS_CLOUD
"SAP Analytics Cloud, add-in for Microsoft Excel",https://help.sap.com/docs/SAP_ANALYTICS_CLOUD_OFFICE
"SAP Analytics Cloud, embedded edition",https://help.sap.com/docs/SAC_EMBEDDED_EDITION
SAP BusinessObjects Live Data Connect,https://help.sap.com/docs/SAP_BUSINESSOBJECTS_LIVE_DATA_CONNECT
"SAP Analytics Cloud, add-in for Microsoft PowerPoint",https://help.sap.com/docs/SAP_ANALYTICS_CLOUD_PPT
SAP Analytics Hub,https://help.sap.com/docs/SAP_Analytics_Hub
SAP AppGyver,https://help.sap.com/docs/APPGYVER
SAP Apparel and Footwear,https://help.sap.com/docs/SAP_APPAREL_AND_FOOTWEAR
Application Frontend Service,https://help.sap.com/docs/APPLICATION_FRONTEND
SAP Application Interface Framework,https://help.sap.com/docs/SAP_APPLICATION_INTERFACE_FRAMEWORK
SAP Applications on SAP Adaptive Server Enterprise (SAP ASE),https://help.sap.com/docs/SAP%20Applications%20on%20SAP%20Adaptive%20Server%20Enterprise%20(SAP%20ASE)
SAP Archiving and Document Access Core by OpenText,https://help.sap.com/docs/ARCHIV_DOCACCESS_OT_SAP_CLOUD
SAP Archiving and Document Access by OpenText,https://help.sap.com/docs/SAP_ARCH_DOCUACCESS_BY_OT
